Employed by this Industry,Code,Occupation,Projected Growth (2021-2031),Projected Job Openings (2021-2031)
89%,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Decline,2100
85%,39-3021.00,Motion Picture Projectionists,Much faster than average,700
80%,27-3023.00,"News Analysts, Reporters, and Journalists",Decline,4900
73%,27-4012.00,Broadcast Technicians,Decline,2800
68%,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Faster than average,22500
61%,49-9052.00,Telecommunications Line Installers and Repairers,Faster than average,12400
60%,27-2012.00,Producers and Directors,Faster than average,17500
60%,27-2012.03,Media Programming Directors,Faster than average,17500
60%,27-2012.04,Talent Directors,Faster than average,17500
60%,27-2012.05,Media Technical Directors/Managers,Faster than average,17500
55%,41-3011.00,Advertising Sales Agents,Decline,10900
54%,27-3041.00,Editors,Decline,10200
49%,27-4032.00,Film and Video Editors,Much faster than average,5700
48%,27-4014.00,Sound Engineering Technicians,Faster than average,1600
42%,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",Much faster than average,24100
41%,39-3092.00,Costume Attendants,Much faster than average,1200
40%,27-4031.00,"Camera Operators, Television, Video, and Film",Faster than average,3700
39%,27-4099.00,"Media and Communication Equipment Workers, All Other",Average,2100
38%,43-9031.00,Desktop Publishers,Decline,900
35%,27-2011.00,Actors,Faster than average,7000
33%,27-3099.00,"Media and Communication Workers, All Other",Average,2100
33%,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",Average,1700
24%,15-1255.00,Web and Digital Interface Designers,Much faster than average,10800
24%,15-1255.01,Video Game Designers,Much faster than average,10800
21%,15-1231.00,Computer Network Support Specialists,Average,16100
20%,27-4011.00,Audio and Video Technicians,Much faster than average,8100
20%,27-1014.00,Special Effects Artists and Animators,Average,6700
19%,15-1252.00,Software Developers,Much faster than average,143400
19%,15-1253.00,Software Quality Assurance Analysts and Testers,Much faster than average,19500
19%,17-2072.00,"Electronics Engineers, Except Computer",Average,7800
19%,17-2072.01,Radio Frequency Identification Device Specialists,Average,7800
19%,19-2021.00,Atmospheric and Space Scientists,Average,700
17%,15-1241.00,Computer Network Architects,Average,11800
17%,15-1241.01,Telecommunications Engineering Specialists,Average,11800
16%,15-1254.00,Web Developers,Much faster than average,11000
16%,11-2011.00,Advertising and Promotions Managers,Average,3000
15%,15-1243.00,Database Architects,Faster than average,4300
15%,15-1243.01,Data Warehousing Specialists,Faster than average,4300
14%,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Average,125300
14%,15-1212.00,Information Security Analysts,Much faster than average,19500
14%,43-9081.00,Proofreaders and Copy Markers,Slower than average,1500
14%,43-2021.00,Telephone Operators,Decline,400
13%,11-3021.00,Computer and Information Systems Managers,Much faster than average,48500
13%,41-9031.00,Sales Engineers,Average,6900
12%,15-1242.00,Database Administrators,Faster than average,7200
12%,43-9071.00,"Office Machine Operators, Except Computer",Decline,4300
11%,15-1232.00,Computer User Support Specialists,Average,58900
11%,11-2021.00,Marketing Managers,Faster than average,32200
11%,27-3043.00,Writers and Authors,Average,15200
11%,27-3043.05,"Poets, Lyricists and Creative Writers",Average,15200
11%,15-2051.00,Data Scientists,Much faster than average,13500
11%,15-2051.01,Business Intelligence Analysts,Much faster than average,13500
11%,15-2051.02,Clinical Data Managers,Much faster than average,13500
11%,15-1221.00,Computer and Information Research Scientists,Much faster than average,3300
10%,13-1161.00,Market Research Analysts and Marketing Specialists,Much faster than average,99800
10%,13-1161.01,Search Marketing Strategists,Much faster than average,99800
10%,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Average,30400
10%,41-4011.07,Solar Sales Representatives and Assessors,Average,30400
10%,27-1024.00,Graphic Designers,Slower than average,24800
10%,15-1244.00,Network and Computer Systems Administrators,Slower than average,23900
10%,43-4121.00,"Library Assistants, Clerical",Decline,13300
10%,15-1251.00,Computer Programmers,Decline,9600
10%,27-3042.00,Technical Writers,Average,5400
10%,17-2061.00,Computer Hardware Engineers,Average,5300
10%,27-1027.00,Set and Exhibit Designers,Average,2700
10%,25-4011.00,Archivists,Faster than average,1100
